location_id,name,area,location_type,x_coord,y_coord,operating_hours,source_url
1,Main University Gate,Main Entrance,GATE,0,0,24/7,https://old1.ug.edu.gh/about/overview
2,Legon Police Station,Main Entrance,SECURITY,-100,20,24/7,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
3,University of Ghana Hospital,South Campus,HEALTH,80,160,24/7,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
4,University of Ghana Fire Station,South Campus,EMERGENCY,150,80,24/7,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
5,Bush Canteen,South Campus,COMMERCIAL,220,110,06:00-22:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
6,University Square,Central Campus,LANDMARK,500,700,24/7,https://old1.ug.edu.gh/about/overview
7,Balme Library,Central Campus,LIBRARY,520,760,08:00-22:00,https://old1.ug.edu.gh/about/overview
8,Great Hall,Legon Hill,ASSEMBLY,520,1100,07:00-22:00,https://old1.ug.edu.gh/about/overview
9,Central Administration,Legon Hill,ADMIN,500,1020,08:00-17:00,https://old1.ug.edu.gh/about/overview
10,Commonwealth Hall,Legon Hill,RESIDENCE,550,1280,24/7,https://www.ug.edu.gh/campus/main
11,Legon Hall,Central Residential,RESIDENCE,300,820,24/7,https://www.ug.edu.gh/campus/main
12,Akuafo Hall,Central Residential,RESIDENCE,700,850,24/7,https://www.ug.edu.gh/campus/main
13,Volta Hall,Central Residential,RESIDENCE,760,900,24/7,https://www.ug.edu.gh/campus/main
14,Mensah Sarbah Hall,Central Residential,RESIDENCE,310,600,24/7,https://www.ug.edu.gh/campus/main
15,Jubilee Hall,South Residential,RESIDENCE,830,280,24/7,https://www.ug.edu.gh/campus/main
16,International Students' Hostel,South Residential,RESIDENCE,850,320,24/7,https://www.ug.edu.gh/campus/main
17,VALCO Trust Hostel,Central Residential,RESIDENCE,650,930,24/7,https://www.ug.edu.gh/campus/main
18,Hilla Limann Hall,South Residential,RESIDENCE,920,220,24/7,https://www.ug.edu.gh/aad/accomodation
19,Alexander Adum Kwapong Hall,South Residential,RESIDENCE,960,230,24/7,https://www.ug.edu.gh/aad/accomodation
20,Jean Nelson Aka Hall,South Residential,RESIDENCE,1000,240,24/7,https://www.ug.edu.gh/aad/accomodation
21,Elizabeth Frances Sey Hall,South Residential,RESIDENCE,1040,250,24/7,https://www.ug.edu.gh/aad/accomodation
22,African Union Hall,South Residential,RESIDENCE,1080,270,24/7,https://www.ug.edu.gh/campus/main
23,James Topp Nelson Yankah Hall,South Residential,RESIDENCE,1120,290,24/7,https://www.ug.edu.gh/campus/main
24,United Nations Hall,South Residential,RESIDENCE,1160,300,24/7,https://www.ug.edu.gh/campus/main
25,Banking Square,South Campus,COMMERCIAL,650,250,07:00-20:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
26,Night Market,South Campus,COMMERCIAL,700,290,16:00-01:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
27,Legon Mosque,South Campus,RELIGIOUS,720,330,05:00-22:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
28,University of Ghana Guest Centre,Central Campus,GUEST_SERVICES,400,560,24/7,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
29,Athletic Oval,Sports Zone,RECREATION,650,520,05:00-22:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
30,University of Ghana Sports Stadium,Sports Zone,RECREATION,850,520,05:00-22:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
31,Legon Poolside,Sports Zone,RECREATION,800,570,06:00-20:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
32,University of Ghana Botanical Gardens,North Campus,RECREATION,700,1150,06:00-18:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
33,University Basic School,South Campus,EDUCATION,420,240,06:30-17:30,https://old1.ug.edu.gh/about/overview
34,Noguchi Memorial Institute for Medical Research,Health Sciences Zone,RESEARCH,900,300,08:00-17:00,https://old1.ug.edu.gh/about/overview
35,School of Public Health,Health Sciences Zone,ACADEMIC,960,330,08:00-20:00,https://old1.ug.edu.gh/about/overview
36,School of Nursing and Midwifery,Health Sciences Zone,ACADEMIC,980,380,08:00-20:00,https://old1.ug.edu.gh/academics/colleges
37,School of Pharmacy,Health Sciences Zone,ACADEMIC,930,420,08:00-20:00,https://old1.ug.edu.gh/academics/colleges
38,School of Engineering Sciences,Academic Zone,ACADEMIC,620,780,07:00-21:00,https://old1.ug.edu.gh/academics/colleges
39,School of Biological Sciences,Academic Zone,ACADEMIC,650,750,07:00-21:00,https://old1.ug.edu.gh/academics/colleges
40,School of Agriculture,Academic Zone,ACADEMIC,680,720,07:00-21:00,https://old1.ug.edu.gh/academics/colleges
41,Department of Sociology,Academic Zone,ACADEMIC,420,650,07:00-21:00,https://www.ug.edu.gh/careers/contact-us
42,Careers and Counselling Centre,Academic Zone,STUDENT_SUPPORT,410,680,08:00-17:00,https://www.ug.edu.gh/careers/contact-us
43,University of Ghana Bookshop,Central Campus,COMMERCIAL,480,720,08:00-18:00,https://univers.ug.edu.gh/finding-your-way-on-the-streets-of-legon-a-level-100-guide/
44,University of Ghana Information Technology Directorate,Central Campus,TECH_SUPPORT,590,610,08:00-17:00,https://ugcs.ug.edu.gh/service-catalogue/academic-computing/design-library-systems-and-research
45,Safety and Security Services Directorate,Central Campus,SECURITY,350,430,24/7,https://www.ug.edu.gh/announcement/vacancies-senior-level-administrative-positions-safety-and-security-services
46,Graduate School,Legon Hill,ACADEMIC_ADMIN,600,980,08:00-17:00,https://old1.ug.edu.gh/about/overview
47,Dean of Students Office,Central Campus,STUDENT_SUPPORT,560,900,08:00-17:00,https://old1.ug.edu.gh/about/overview
48,Sports and Wellness Directorate,Sports Zone,ADMIN,780,500,08:00-17:00,https://old1.ug.edu.gh/about/overview
49,International Programmes Office,Central Campus,ADMIN,590,840,08:00-17:00,https://old1.ug.edu.gh/about/overview
50,University of Ghana School of Law,Academic Zone,ACADEMIC,380,740,07:00-21:00,https://law.ug.edu.gh/about-us
